Frase,HybridFunction,Tiempo_Hybrid,DiscriminatoryIteration,Tiempo_Discriminatory,GreedyPassword,Tiempo_Greedy,AleatoryIteration,Tiempo_AleatoryIter,AleatoryGeneration,Tiempo_AleatoryGen
"juan12","juan12",0.0058412,"jU@n|Z",2.3e-06,"JU@n|Z",8.3e-06,"Jv4n|Z",3.88e-05,"jU@nIZ",4e-07
"maria1","m4r!@I",0.0039103,"M@R¡4|",1.7e-06,"M@R!4|",9.9e-06,"M4r¡4|",6.07e-05,"mar!@|",1e-06
"casa22","(4$a2z",0.0068129,"c@$4Zz",1.6e-06,"<@$4Zz",8e-06,"<4$422",3.2e-05,"<@5@z2",4e-07
"sol33","5O|E3",0.0038852,"S0|E€",1.9e-06,"$0|E3",8.3e-06,"$O|€€",0.0002002,"5Ol3e",7e-07
"luz44","luz44",0.0009876,"|U244",1e-06,"|U244",3.7e-06,"|vZ44",1.44e-05,"|uZ44",4e-07
"amor5","amor5",0.0040559,"aM0RS",1.1e-06,"@M0RS",6.7e-06,"@m0r$",1.76e-05,"AMOrs",4e-07
"paz66","p4ZgG",0.0038462,"P@2Gg",1.3e-06,"P@2Gg",6.8e-06,"p4z99",1.52e-05,"p42G6",7e-07
"gato77","gato77",0.0019242,"9@+077",1.3e-06,"9@+077",5.6e-06,"94+O77",3.28e-05,"6@+077",5e-07
"perro8","pErR08",0.0037923,"PERr08",1.4e-06,"PERr08",5.7e-06,"p€Rr08",0.0001378,"peRrO8",8e-07
"nube99","nube99",0.0017887,"NU8E99",1.3e-06,"nU8E99",6.9e-06,"NV8€99",0.0001293,"NVb€99",1.4e-06
"flor11","f|OrL1",0.0082914,"F|0RIl",1.7e-06,"F|0RIl",8.8e-06,"F|or|¡",6.45e-05,"f|orl1",7e-07
"rosa22","r0$4z2",0.0052067,"R0$@Zz",1.7e-06,"R0$@Zz",9e-06,"ro$@z2",3.89e-05,"RO5@2Z",7e-07
"azul33","4Zu|Ee",0.0061821,"42U|E€",2e-06,"@2U|E3",1.1e-05,"@zv|€€",0.0004955,"aZvl€3",1.6e-06
"verde4","v3RDE4",0.0040656,"VERD€4",2e-06,"VERD34",7.2e-06,"v€Rd€4",0.0004899,"V€RdE4",6e-07
"cielo5","cielo5",0.0066254,"C¡E|0S",2.2e-06,"<¡E|05",8.7e-06,"<!€|O$",0.0001332,"c!ELoS",7e-07
"dia12","dia12",0.0028777,"d¡@|Z",1.5e-06,"D¡@|2",7.2e-06,"D!4|z",1.67e-05,"dI4|Z",6e-07
"noche3","noche3",0.0066232,"n0<HE€",1.8e-06,"n0<HE3",9.3e-06,"N0(h€€",0.0005144,"NOCHEe",1e-06
